"Bill of Quantities",""
"Work Section",""
"Plot 6",""
"Summary",""
"Bill No. 1 Preliminaries","£352.00"
"Bill No. 2 Excavating & filling","£5,158.95"
"Bill No. 3 Insitu concrete works","£2,487.79"
"Bill No. 4 Composite precast concrete","£3,315.56"
"Bill No. 5 Precast concrete","£70.67"
"Bill No. 6 Masonry","£31,566.68"
"Bill No. 7 Carpentry","£10,281.72"
"Bill No. 8 Sheet roof coverings","£599.79"
"Bill No. 9 Tile and slate roof and wall coverings","£15,427.20"
"Bill No. 10 General joinery","£1,545.26"
"Bill No. 11 Windows, screens and lights","£17,675.61"
"Bill No. 12 Doors, shutters and hatches","£4,090.66"
"Bill No. 13 Stairs, walkways and balustrades","£1,838.42"
"Bill No. 14 Floor, wall, ceiling and roof finishings","£9,648.06"
"Bill No. 15 Decoration","£4,411.85"
"Bill No. 16 Insulation, fire stopping & fire protection","£4,465.35"
"Bill No. 17 Furniture, fittings and equipment","£3,057.88"
"Bill No. 18 Drainage above ground","£2,151.63"
"Bill No. 19 Drainage below ground","£4,245.46"
"Bill No. 20 Site works","£3,620.52"
"Bill No. 21 Soft landscaping","£1,685.66"
"Bill No. 22 Mechanical services","£779.93"
"Bill No. 23 Electrical services","£227.25"
"Bill No. 24 Builder’s work in connection with mechanical, electrical &","£66.02"
"transportation installations",""
"Bill No. 25 Main contractor's overheads and profit","£51,508.49"
