"","SAMPLE TEMPLATE BOQ","",""
"","Ground works_Frame","",""
"","BILLS OF QUANTITIES STAGE 3","",""
"","Description","Quantity","Unit"
"","BUILDING A","",""
"","05: EXCAVATING AND FILLING","",""
"","The following drawings has been used: EPS001-HYD-AZ-00-DR-","",""
"","S-100006; EPS001-HYD-AZ-00-DR-S-100007; EPS001-HYD-AZ-","",""
"","00-DR-S-100008","",""
"","05.10 SITE CLEARANCE/PREPARATION","",""
"","Removing trees","",""
"","girth 0.60 - 1.50: filling voids with selected material arising","",""
"1","","",""
"","from excavation","3","nr"
"","Removing tree stumps","",""
"","girth 0.60 - 1.50: filling voids with selected material arising","",""
"2","","",""
"","from excavation","3","nr"
"","05.20 EXCAVATIONS","",""
"","To reduce levels","",""
"3","maximum depth not exceeding 1.00m","863","m³"
"","maximum depth not exceeding 1.00m for formation level","",""
"4","","",""
"","including blinds and insulation","825","m³"
"","Basements and the like: commencing level from reduce level:","",""
"","59.320m","",""
"5","maximum depth not exceeding 2.00m","1,100","m³"
"","For pile caps and ground beams between piles","",""
"","not exceeding 2.00m : commencing from reduce level:","",""
"6","","",""
"","59.32m","655","m³"
"","not exceeding 2.00m : commencing from reduce level:","",""
"7","","",""
"","61.1m","274","m³"
"","not exceeding 2.00m : commencing from reduce","",""
"8","","",""
"","level:57.82m","57","m³"
