"Bill No. 2 Excavating & filling","","","","",""
"2.5 Excavating & filling","","","","",""
"2.5.1","Fillings","","","",""
"2.5.1.1","Filling obtained from excavated material","","","",""
"2.5.1.1.1","Fill obtained from temporary spoil heaps to","2.80
m³","","65","65"
"","foundations, level compacted in max 150mm layers by","","","",""
"","hand >500mm thick","","","",""
"2.5.1.1.2","Fill obtained from excavated material to foundations","7.69
m²","","26","99"
"","150mm thick compacted in max 150mm layers, laid","","","",""
"","level","","","",""
"2.5.1.2","Sub base","","","",""
"2.5.1.2.1","Imported filling 100mm thick level sub base to paving","73.59
m²","","1,292","63"
"","compacted in max 150mm layers Sub base MOT type","","","",""
"","1","","","",""
"2.5.2","Excavations","","","",""
"2.5.2.1","Foundations","","","",""
"2.5.2.1.1","Excavation from foundations max depth <2m Backhoe","22.20
m³","","523","40"
"","loader and driver","","","",""
"2.5.2.1.2","Preparing bottom of excavations","24.66
m²","","59","75"
"2.5.3","Disposal","","","",""
"2.5.3.1","Excavated material disposal","","","",""
"2.5.3.1.1","Disposal of excavated material off site Tipper (20","48.97
m³","","1,245","34"
"","tonne) and driver inc. land fill tax","","","",""
"2.5.4","Membranes","","","",""
"2.5.4.1","Damp proof membrane","","","",""
"2.5.4.1.1","DPM to beam and block floor construction >500mm","61.81
m²","","96","30"
"","wide horizontal Visqueen EcoMembrane polythene","","","",""
"","DPM black 1200 gauge (300mu) BBA","","","",""
"2.5.5","Excavation support","","","",""
"2.5.5.1","Excavation support","","","",""
"2.5.5.1.1","Support to faces of excavation","101.52
m²","","1,832","46"
"2.5.6","Retaining excavated material","","","",""
"2.5.6.1","Excavated material retention","","","",""
"2.5.6.1.1","Retain excavated subsoil on site in spoil heaps 50m","3.96
m³","","16","43"
"","from excavation by machine Dumper (3 tonne)","","","",""
"","","TOTAL carried to main summary","£","5,158","95"
